label,xmin,ymin,xmax,ymax,image
Hard Hat,7,8,694,550,pos_156.jpg
Safety Vest,20,23,779,1004,pos_630.jpg
Safety Vest,167,63,1073,1232,pos_624.jpg
Hard Hat,546,0,628,50,pos_1809.jpg
Safety Vest,511,94,664,295,pos_1809.jpg
Hard Hat,12,87,493,366,pos_142.jpg
Hard Hat,335,0,549,56,pos_1821.jpg
Hard Hat,727,1,1259,375,pos_1821.jpg
Hard Hat,173,56,548,342,pos_1821.jpg
Safety Vest,475,456,1229,717,pos_1821.jpg
Safety Vest,425,253,549,412,pos_1821.jpg
Hard Hat,4,73,594,535,pos_63.jpg
Safety Vest,327,8,1164,1495,pos_618.jpg
Safety Vest,56,153,420,666,pos_77.jpg
Safety Vest,312,33,643,509,pos_77.jpg
Safety Vest,609,375,703,475,pos_1835.jpg
Hard Hat,643,361,671,373,pos_1835.jpg
Safety Vest,49,3,243,283,pos_195.jpg
Hard Hat,308,36,456,140,pos_1160.jpg
Hard Hat,147,18,250,92,pos_1174.jpg
Hard Hat,64,6,644,450,pos_88.jpg
Safety Vest,14,116,694,910,pos_181.jpg
Safety Vest,696,116,1011,909,pos_181.jpg
Safety Vest,531,118,846,905,pos_181.jpg
Safety Vest,0,318,114,552,pos_1612.jpg
Hard Hat,0,224,64,293,pos_1612.jpg
Hard Hat,301,255,417,332,pos_1612.jpg
Safety Vest,256,370,433,570,pos_1612.jpg
Safety Vest,471,213,571,365,pos_1612.jpg
Hard Hat,552,127,574,185,pos_1612.jpg
Hard Hat,427,220,447,236,pos_817.jpg
Hard Hat,212,203,323,283,pos_817.jpg
Hard Hat,464,237,485,255,pos_817.jpg
Hard Hat,337,235,348,251,pos_817.jpg
Hard Hat,325,229,336,243,pos_817.jpg
Hard Hat,198,220,212,235,pos_817.jpg
Hard Hat,172,82,224,113,pos_803.jpg
Hard Hat,243,111,288,145,pos_803.jpg
Hard Hat,367,105,420,138,pos_803.jpg
Hard Hat,30,37,97,87,pos_1148.jpg
Hard Hat,219,206,279,268,pos_1148.jpg
Safety Vest,104,178,416,606,pos_432.jpg
Safety Vest,580,134,890,605,pos_432.jpg
Safety Vest,6,9,257,342,pos_354.jpg
Hard Hat,12,71,1376,1139,pos_340.jpg
Safety Vest,53,133,288,426,pos_426.jpg
Safety Vest,180,22,399,310,pos_426.jpg
Hard Hat,212,37,427,201,pos_368.jpg
Hard Hat,138,38,278,139,pos_1389.jpg
Safety Vest,53,185,274,330,pos_1389.jpg
Hard Hat,583,122,651,192,pos_1362.jpg
Safety Vest,571,180,686,363,pos_1362.jpg
Safety Vest,5,12,298,412,pos_397.jpg
Safety Vest,307,25,589,407,pos_397.jpg
Safety Vest,89,207,522,718,pos_1404.jpg
Safety Vest,795,437,1049,675,pos_1410.jpg
Hard Hat,740,393,852,491,pos_1410.jpg
Safety Vest,13,1,334,346,pos_383.jpg
Safety Vest,134,421,382,718,pos_2119.jpg
Safety Vest,324,417,558,717,pos_2119.jpg
Hard Hat,609,23,754,129,pos_1376.jpg
Safety Vest,515,206,885,641,pos_1376.jpg
Safety Vest,80,260,370,663,pos_1438.jpg
Safety Vest,1159,304,1279,718,pos_1438.jpg
Safety Vest,522,182,658,388,pos_2131.jpg
Safety Vest,995,198,1162,449,pos_2131.jpg
Safety Vest,320,204,485,427,pos_2125.jpg
Safety Vest,901,161,1060,387,pos_2125.jpg
Safety Vest,140,14,831,988,pos_546.jpg
Hard Hat,4,3,994,669,pos_220.jpg
Safety Vest,62,6,318,357,pos_234.jpg
Hard Hat,0,7,497,386,pos_552.jpg
Safety Vest,336,171,447,371,pos_2086.jpg
Safety Vest,867,193,993,379,pos_2086.jpg
Hard Hat,35,160,1982,1387,pos_208.jpg
Safety Vest,328,105,436,285,pos_2092.jpg
Safety Vest,759,123,833,313,pos_2092.jpg
Hard Hat,171,42,419,299,pos_1216.jpg
Hard Hat,96,27,507,243,pos_585.jpg
Safety Vest,124,252,331,543,pos_2079.jpg
Safety Vest,245,171,882,719,pos_1570.jpg
Safety Vest,95,623,836,719,pos_1564.jpg
Hard Hat,180,169,1365,1000,pos_591.jpg
Hard Hat,35,42,123,93,pos_1202.jpg
Safety Vest,352,367,709,701,pos_2045.jpg
Safety Vest,559,61,1279,719,pos_2051.jpg
Safety Vest,472,305,543,413,pos_1558.jpg
Safety Vest,557,306,637,419,pos_1558.jpg
Safety Vest,216,419,460,674,pos_1969.jpg
Hard Hat,212,139,244,161,pos_744.jpg
Hard Hat,347,111,375,132,pos_744.jpg
Hard Hat,354,94,369,104,pos_744.jpg
Hard Hat,464,108,484,128,pos_744.jpg
Hard Hat,1,63,67,132,pos_750.jpg
Hard Hat,148,63,223,120,pos_750.jpg
Hard Hat,269,209,337,263,pos_750.jpg
Hard Hat,169,31,333,146,pos_988.jpg
Safety Vest,171,255,416,529,pos_1955.jpg
Safety Vest,640,251,771,439,pos_1955.jpg
Safety Vest,888,247,1047,474,pos_1955.jpg
Hard Hat,116,156,135,171,pos_778.jpg
Hard Hat,245,162,261,182,pos_778.jpg
Safety Vest,0,450,558,717,pos_1941.jpg
Hard Hat,156,52,459,303,pos_1799.jpg
Safety Vest,3,274,593,718,pos_1799.jpg
Safety Vest,417,296,526,435,pos_1772.jpg
Safety Vest,533,313,652,477,pos_1772.jpg
Hard Hat,560,240,615,268,pos_1772.jpg
Hard Hat,449,231,505,263,pos_1772.jpg
Hard Hat,0,45,331,229,pos_787.jpg
Hard Hat,162,38,243,97,pos_1014.jpg
Hard Hat,279,59,382,116,pos_1014.jpg
Hard Hat,116,227,142,252,pos_1000.jpg
Hard Hat,362,58,471,117,pos_793.jpg
Safety Vest,69,245,360,667,pos_1766.jpg
Hard Hat,134,60,319,184,pos_1766.jpg
Hard Hat,651,110,797,204,pos_1766.jpg
Hard Hat,815,66,1011,180,pos_1766.jpg
Hard Hat,1001,86,1149,174,pos_1766.jpg
Safety Vest,802,258,1078,716,pos_1766.jpg
Safety Vest,482,362,650,461,pos_1996.jpg
Safety Vest,621,374,709,460,pos_1996.jpg
Hard Hat,188,26,395,171,pos_1028.jpg
Hard Hat,211,84,254,116,pos_963.jpg
Hard Hat,151,155,180,187,pos_963.jpg
Hard Hat,351,143,378,160,pos_963.jpg
